{'timestamp': '2026-02-08T16:42:00.895049', 'level': 'WARN', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 267, 'status_code': 200}
{'timestamp': '2026-02-08T16:42:04.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'User logged in', 'latency_ms': 223, 'status_code': 200}
{'timestamp': '2026-02-08T16:42:08.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Cache hit', 'latency_ms': 291, 'status_code': 200}
{'timestamp': '2026-02-08T16:42:13.895049', 'level': 'WARN', 'service': 'auth-service', 'message': 'Cache hit', 'latency_ms': 53, 'status_code': 200}
{'timestamp': '2026-02-08T16:42:17.895049', 'level': 'ERROR', 'service': 'api-gateway', 'message': 'Service unavailable', 'latency_ms': 626, 'status_code': 500}
{'timestamp': '2026-02-08T16:42:21.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Health check passed', 'latency_ms': 116, 'status_code': 200}
{'timestamp': '2026-02-08T16:42:26.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Request processed successfully', 'latency_ms': 196, 'status_code': 200}
{'timestamp': '2026-02-08T16:42:27.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 86, 'status_code': 200}
{'timestamp': '2026-02-08T16:42:30.895049', 'level': 'ERROR', 'service': 'auth-service', 'message': 'Service unavailable', 'latency_ms': 2157, 'status_code': 503}
{'timestamp': '2026-02-08T16:42:33.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Cache hit', 'latency_ms': 121, 'status_code': 200}
{'timestamp': '2026-02-08T16:42:34.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Health check passed', 'latency_ms': 267, 'status_code': 200}
{'timestamp': '2026-02-08T16:42:39.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'User logged in', 'latency_ms': 104, 'status_code': 200}
{'timestamp': '2026-02-08T16:42:44.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 243, 'status_code': 200}
{'timestamp': '2026-02-08T16:42:48.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Request processed successfully', 'latency_ms': 95, 'status_code': 200}
{'timestamp': '2026-02-08T16:42:53.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Cache hit', 'latency_ms': 163, 'status_code': 200}
{'timestamp': '2026-02-08T16:42:54.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Cache hit', 'latency_ms': 209, 'status_code': 200}
{'timestamp': '2026-02-08T16:42:58.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'User logged in', 'latency_ms': 235, 'status_code': 200}
{'timestamp': '2026-02-08T16:43:01.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Request processed successfully', 'latency_ms': 208, 'status_code': 200}
{'timestamp': '2026-02-08T16:43:06.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Request processed successfully', 'latency_ms': 149, 'status_code': 200}
{'timestamp': '2026-02-08T16:43:09.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Cache hit', 'latency_ms': 214, 'status_code': 200}
{'timestamp': '2026-02-08T16:43:13.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Request processed successfully', 'latency_ms': 119, 'status_code': 200}
{'timestamp': '2026-02-08T16:43:14.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'User logged in', 'latency_ms': 52, 'status_code': 200}
{'timestamp': '2026-02-08T16:43:17.895049', 'level': 'WARN', 'service': 'auth-service', 'message': 'Health check passed', 'latency_ms': 105, 'status_code': 200}
{'timestamp': '2026-02-08T16:43:20.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Cache hit', 'latency_ms': 235, 'status_code': 200}
{'timestamp': '2026-02-08T16:43:24.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'User logged in', 'latency_ms': 137, 'status_code': 200}
{'timestamp': '2026-02-08T16:43:25.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Cache hit', 'latency_ms': 103, 'status_code': 200}
{'timestamp': '2026-02-08T16:43:26.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Health check passed', 'latency_ms': 155, 'status_code': 200}
{'timestamp': '2026-02-08T16:43:27.895049', 'level': 'ERROR', 'service': 'db-service', 'message': 'Unhandled exception occurred', 'latency_ms': 2482, 'status_code': 500}
{'timestamp': '2026-02-08T16:43:31.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Request processed successfully', 'latency_ms': 251, 'status_code': 200}
{'timestamp': '2026-02-08T16:43:35.895049', 'level': 'ERROR', 'service': 'api-gateway', 'message': 'Database connection timeout', 'latency_ms': 2228, 'status_code': 503}
{'timestamp': '2026-02-08T16:43:39.895049', 'level': 'WARN', 'service': 'auth-service', 'message': 'Cache hit', 'latency_ms': 239, 'status_code': 200}
{'timestamp': '2026-02-08T16:43:43.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'User logged in', 'latency_ms': 241, 'status_code': 200}
{'timestamp': '2026-02-08T16:43:44.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'User logged in', 'latency_ms': 235, 'status_code': 200}
{'timestamp': '2026-02-08T16:43:49.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Cache hit', 'latency_ms': 265, 'status_code': 200}
{'timestamp': '2026-02-08T16:43:52.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'User logged in', 'latency_ms': 209, 'status_code': 200}
{'timestamp': '2026-02-08T16:43:56.895049', 'level': 'WARN', 'service': 'db-service', 'message': 'Cache hit', 'latency_ms': 92, 'status_code': 200}
{'timestamp': '2026-02-08T16:43:59.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'User logged in', 'latency_ms': 189, 'status_code': 200}
{'timestamp': '2026-02-08T16:44:00.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 75, 'status_code': 200}
{'timestamp': '2026-02-08T16:44:04.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Cache hit', 'latency_ms': 94, 'status_code': 200}
{'timestamp': '2026-02-08T16:44:05.895049', 'level': 'WARN', 'service': 'db-service', 'message': 'Cache hit', 'latency_ms': 175, 'status_code': 200}
{'timestamp': '2026-02-08T16:44:10.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Cache hit', 'latency_ms': 239, 'status_code': 200}
{'timestamp': '2026-02-08T16:44:13.895049', 'level': 'INFO', 'service': 'api-gateway', 'message': 'Cache hit', 'latency_ms': 289, 'status_code': 200}
{'timestamp': '2026-02-08T16:44:15.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 110, 'status_code': 200}
{'timestamp': '2026-02-08T16:44:20.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'User logged in', 'latency_ms': 82, 'status_code': 200}
{'timestamp': '2026-02-08T16:44:24.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Health check passed', 'latency_ms': 117, 'status_code': 200}
{'timestamp': '2026-02-08T16:44:26.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 294, 'status_code': 200}
{'timestamp': '2026-02-08T16:44:27.895049', 'level': 'WARN', 'service': 'auth-service', 'message': 'Cache hit', 'latency_ms': 71, 'status_code': 200}
{'timestamp': '2026-02-08T16:44:31.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Cache hit', 'latency_ms': 182, 'status_code': 200}
{'timestamp': '2026-02-08T16:44:33.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Health check passed', 'latency_ms': 51, 'status_code': 200}
{'timestamp': '2026-02-08T16:44:37.895049', 'level': 'WARN', 'service': 'auth-service', 'message': 'User logged in', 'latency_ms': 64, 'status_code': 200}
{'timestamp': '2026-02-08T16:44:38.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 124, 'status_code': 200}
{'timestamp': '2026-02-08T16:44:43.895049', 'level': 'WARN', 'service': 'auth-service', 'message': 'Cache hit', 'latency_ms': 179, 'status_code': 200}
{'timestamp': '2026-02-08T16:44:46.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Cache hit', 'latency_ms': 164, 'status_code': 200}
{'timestamp': '2026-02-08T16:44:49.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Cache hit', 'latency_ms': 137, 'status_code': 200}
{'timestamp': '2026-02-08T16:44:54.895049', 'level': 'WARN', 'service': 'db-service', 'message': 'Request processed successfully', 'latency_ms': 279, 'status_code': 200}
{'timestamp': '2026-02-08T16:44:57.895049', 'level': 'ERROR', 'service': 'api-gateway', 'message': 'Service unavailable', 'latency_ms': 1675, 'status_code': 500}
{'timestamp': '2026-02-08T16:45:02.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Cache hit', 'latency_ms': 85, 'status_code': 200}
{'timestamp': '2026-02-08T16:45:04.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'User logged in', 'latency_ms': 184, 'status_code': 200}
{'timestamp': '2026-02-08T16:45:09.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Health check passed', 'latency_ms': 149, 'status_code': 200}
{'timestamp': '2026-02-08T16:45:12.895049', 'level': 'ERROR', 'service': 'db-service', 'message': 'Unhandled exception occurred', 'latency_ms': 2430, 'status_code': 500}
{'timestamp': '2026-02-08T16:45:13.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Health check passed', 'latency_ms': 100, 'status_code': 200}
{'timestamp': '2026-02-08T16:45:17.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Request processed successfully', 'latency_ms': 229, 'status_code': 200}
{'timestamp': '2026-02-08T16:45:21.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'User logged in', 'latency_ms': 266, 'status_code': 200}
{'timestamp': '2026-02-08T16:45:26.895049', 'level': 'ERROR', 'service': 'api-gateway', 'message': 'Failed to authenticate user', 'latency_ms': 1399, 'status_code': 503}
{'timestamp': '2026-02-08T16:45:31.895049', 'level': 'WARN', 'service': 'api-gateway', 'message': 'User logged in', 'latency_ms': 52, 'status_code': 200}
{'timestamp': '2026-02-08T16:45:32.895049', 'level': 'WARN', 'service': 'auth-service', 'message': 'User logged in', 'latency_ms': 246, 'status_code': 200}
{'timestamp': '2026-02-08T16:45:37.895049', 'level': 'INFO', 'service': 'db-service', 'message': 'Cache hit', 'latency_ms': 139, 'status_code': 200}
{'timestamp': '2026-02-08T16:45:42.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Request processed successfully', 'latency_ms': 275, 'status_code': 200}
{'timestamp': '2026-02-08T16:45:47.895049', 'level': 'INFO', 'service': 'auth-service', 'message': 'Request processed successfully', 'latency_ms': 112, 'status_code': 200}
